變化類別,股票代號,股票名稱,股數_20260427,股數_20260428,股數變化,權重_20260427(%),權重_20260428(%),權重變化(%)
新增,1590,亞德客-KY,,500000,,,0.3,
新增,2337,旺宏,,2910000,,,0.2,
增加持股,2303,聯電,32791000,40054000,7263000,1.03,1.28,0.25
增加持股,2327,國巨*,15196000,16954000,1758000,2.0,2.35,0.35
增加持股,2449,京元電子,11172000,12719000,1547000,1.36,1.53,0.17
增加持股,3711,日月光投控,8174000,9536000,1362000,1.74,2.0,0.26
增加持股,2313,華通,843000,1343000,500000,0.09,0.14,0.05
增加持股,2454,聯發科,4147000,4363000,216000,4.35,4.84,0.49
增加持股,6669,緯穎,1549000,1635000,86000,3.26,3.33,0.07
移除,3211,順達,458000,,,0.08,,
移除,6488,環球晶,333000,,,0.09,,
