變化類別,股票代號,股票名稱,股數_20260622,股數_20260623,股數變化,權重_20260622(%),權重_20260623(%),權重變化(%)
增加持股,6271,同欣電,1966000,2966000,1000000,0.16,0.25,0.09
增加持股,3037,欣興,12466000,13307000,841000,4.05,4.41,0.36
增加持股,2454,聯發科,4861000,4977000,116000,7.17,7.68,0.51
減少持股,8150,南茂,11635000,1444000,-10191000,0.41,0.05,-0.36
減少持股,8046,南電,10828000,8917000,-1911000,3.18,2.76,-0.42
減少持股,4958,臻鼎-KY,1428000,1000,-1427000,0.31,0.0,-0.31
減少持股,8996,高力,1034000,354000,-680000,0.55,0.17,-0.38
減少持股,2308,台達電,6572000,6222000,-350000,4.75,4.4,-0.35
減少持股,2313,華通,329000,1000,-328000,0.03,0.0,-0.03
減少持股,3443,創意,258000,1000,-257000,0.42,0.0,-0.42
減少持股,6515,穎崴,436000,348000,-88000,1.38,1.12,-0.26
減少持股,6669,緯穎,2492000,2417000,-75000,4.29,3.85,-0.44
