變化類別,股票代號,股票名稱,股數_20260729,股數_20260730,股數變化,權重_20260729(%),權重_20260730(%),權重變化(%)
增加持股,2303,聯電,86550000,87718000,1168000,3.7,3.95,0.25
增加持股,3037,欣興,16971000,17833000,862000,4.87,5.23,0.36
增加持股,2327,國巨*,25098000,25437000,339000,5.31,4.76,-0.55
增加持股,2368,金像電,7478000,7579000,101000,2.28,2.24,-0.04
增加持股,2449,京元電子,7443450,7543450,100000,0.66,0.63,-0.03
增加持股,2345,智邦,6334000,6419000,85000,5.05,5.09,0.04
增加持股,2308,台達電,5567000,5642000,75000,3.47,3.54,0.07
增加持股,3017,奇鋐,5423000,5496000,73000,4.74,4.75,0.01
增加持股,6274,台燿,5160000,5229000,69000,2.2,2.16,-0.04
增加持股,2454,聯發科,5131000,5200000,69000,6.75,6.89,0.14
增加持股,3665,貿聯-KY,4833848,4898848,65000,4.22,3.83,-0.39
增加持股,2383,台光電,4653000,4715000,62000,7.96,8.34,0.38
增加持股,6669,緯穎,2417000,2449000,32000,5.18,4.92,-0.26
增加持股,3653,健策,2267000,2297000,30000,3.13,2.95,-0.18
增加持股,8210,勤誠,2267000,2297000,30000,0.93,0.9,-0.03
增加持股,6805,富世達,1931000,1957000,26000,1.02,0.99,-0.03
增加持股,5274,信驊,448900,454900,6000,2.42,2.46,0.04
減少持股,6147,頎邦,3764000,2822000,-942000,0.2,0.14,-0.06
減少持股,5439,高技,1056000,526000,-530000,0.09,0.04,-0.05
減少持股,6278,台表科,3972000,3610000,-362000,0.23,0.19,-0.04
減少持股,6271,同欣電,2718000,2470000,-248000,0.17,0.15,-0.02
減少持股,6510,精測,319000,289000,-30000,0.32,0.27,-0.05
