變化類別,股票代號,股票名稱,股數_20260414,股數_20260415,股數變化,權重_20260414(%),權重_20260415(%),權重變化(%)
增加持股,8358,金居,4809000,5389000,580000,1.17,1.32,0.15
增加持股,2454,聯發科,679000,1067000,388000,0.9,1.4,0.5
增加持股,5439,高技,1404000,1719000,315000,0.39,0.5,0.11
增加持股,2327,國巨*,12928000,13128000,200000,3.11,3.1,-0.01
增加持股,2449,京元電子,9125000,9275000,150000,2.12,1.98,-0.14
增加持股,8046,南電,8269000,8389000,120000,4.12,4.04,-0.08
增加持股,6805,富世達,1188000,1308000,120000,1.59,1.75,0.16
增加持股,3711,日月光投控,6415000,6535000,120000,2.1,2.14,0.04
增加持股,2330,台積電,6013000,6121000,108000,9.53,9.34,-0.19
增加持股,6191,精成科,3485000,3585000,100000,0.28,0.27,-0.01
增加持股,1815,富喬,6000,106000,100000,0.0,0.01,0.01
增加持股,8210,勤誠,864000,944000,80000,0.64,0.69,0.05
增加持股,2383,台光電,2932000,3012000,80000,8.16,8.42,0.26
增加持股,3017,奇鋐,3142000,3202000,60000,5.6,5.46,-0.14
增加持股,2345,智邦,3818000,3878000,60000,5.57,5.6,0.03
增加持股,3653,健策,1777000,1837000,60000,5.48,5.6,0.12
增加持股,2308,台達電,4560000,4610000,50000,6.16,6.04,-0.12
增加持股,3665,貿聯-KY,3210848,3260848,50000,5.69,5.62,-0.07
增加持股,2368,金像電,6771000,6821000,50000,6.01,5.83,-0.18
增加持股,3217,優群,495000,545000,50000,0.06,0.06,0.0
增加持股,2313,華通,9000,59000,50000,0.0,0.01,0.01
增加持股,2481,強茂,1676000,1716000,40000,0.13,0.13,0.0
增加持股,6223,旺矽,1469000,1489000,20000,5.17,5.03,-0.14
增加持股,6669,緯穎,175000,195000,20000,0.51,0.53,0.02
增加持股,6488,環球晶,1414000,1434000,20000,0.55,0.54,-0.01
增加持股,6515,穎崴,290000,305000,15000,1.9,2.03,0.13
增加持股,6510,精測,606000,620000,14000,1.57,1.64,0.07
增加持股,5274,信驊,331000,343000,12000,3.32,3.49,0.17
增加持股,3661,世芯-KY,241000,251000,10000,0.6,0.59,-0.01
增加持股,3211,順達,3849000,3850000,1000,1.04,0.98,-0.06
增加持股,3376,新日興,1464000,1465000,1000,0.22,0.21,-0.01
增加持股,2439,美律,10000,11000,1000,0.0,0.0,0.0
增加持股,2357,華碩,10000,11000,1000,0.0,0.0,0.0
增加持股,5347,世界,9000,10000,1000,0.0,0.0,0.0
增加持股,2404,漢唐,803000,804000,1000,0.57,0.54,-0.03
增加持股,3008,大立光,11000,12000,1000,0.02,0.02,0.0
增加持股,2002,中鋼,5051000,5052000,1000,0.08,0.07,-0.01
增加持股,3324,雙鴻,162000,163000,1000,0.12,0.12,0.0
增加持股,1319,東陽,492000,493000,1000,0.03,0.03,0.0
增加持股,3264,欣銓,2988000,2989000,1000,0.43,0.41,-0.02
增加持股,3045,台灣大,10000,11000,1000,0.0,0.0,0.0
減少持股,1303,南亞,20441000,16352000,-4089000,1.4,1.06,-0.34
移除,1326,台化,9223000,,,0.39,,
