變化類別,股票代號,股票名稱,股數_20260921,股數_20260922,股數變化,權重_20260921(%),權重_20260922(%),權重變化(%)
增加持股,4958,臻鼎-KY,2712000,3543000,831000,0.45,0.6,0.15
增加持股,2308,台達電,7240000,7420000,180000,4.75,4.86,0.11
增加持股,6274,台燿,5546000,5696000,150000,2.78,2.83,0.05
增加持股,2368,金像電,1234000,1363000,129000,0.45,0.49,0.04
增加持股,2327,國巨*,24987000,25107000,120000,4.87,4.94,0.07
減少持股,3264,欣銓,6628000,5182000,-1446000,0.66,0.49,-0.17
減少持股,3665,貿聯-KY,4280848,3943848,-337000,3.44,3.05,-0.39
減少持股,6669,緯穎,5656561,5582561,-74000,4.25,4.07,-0.18
減少持股,6510,精測,446000,400000,-46000,0.54,0.51,-0.03
