變化類別,股票代號,股票名稱,股數_20260506,股數_20260507,股數變化,權重_20260506(%),權重_20260507(%),權重變化(%)
增加持股,8150,南茂,468000,11334000,10866000,0.02,0.41,0.39
增加持股,3711,日月光投控,11259000,13833000,2574000,2.19,2.74,0.55
增加持股,2357,華碩,975000,1996000,1021000,0.23,0.47,0.24
增加持股,3264,欣銓,8608000,9030000,422000,0.72,0.82,0.1
增加持股,6274,台燿,3778000,4151000,373000,1.84,2.2,0.36
增加持股,2308,台達電,6218000,6572000,354000,5.1,5.49,0.39
增加持股,2330,台積電,11157000,11359000,202000,9.31,9.62,0.31
增加持股,8210,勤誠,1340000,1540000,200000,0.66,0.73,0.07
增加持股,3443,創意,616000,764000,148000,1.13,1.53,0.4
減少持股,2337,旺宏,3056000,8000,-3048000,0.19,0.0,-0.19
