變化類別,股票代號,股票名稱,股數_20260422,股數_20260423,股數變化,權重_20260422(%),權重_20260423(%),權重變化(%)
新增,4966,譜瑞-KY,,370000,,,0.11,
增加持股,2303,聯電,29889000,30837000,948000,1.22,1.14,-0.08
增加持股,2330,台積電,8218000,9113000,895000,8.75,9.49,0.74
增加持股,2449,京元電子,10180000,10503000,323000,1.52,1.46,-0.06
增加持股,8046,南電,8972000,9256000,284000,3.74,3.69,-0.05
增加持股,3711,日月光投控,7419000,7654000,235000,1.79,1.78,-0.01
增加持股,2383,台光電,3681000,3904000,223000,7.77,8.02,0.25
增加持股,2317,鴻海,6715000,6927000,212000,0.77,0.78,0.01
增加持股,2308,台達電,5839000,6024000,185000,6.11,5.97,-0.14
增加持股,2345,智邦,4902000,5057000,155000,5.6,5.27,-0.33
增加持股,3264,欣銓,4745000,4896000,151000,0.52,0.48,-0.04
增加持股,3665,貿聯-KY,3812848,3933848,121000,5.06,5.43,0.37
增加持股,6191,精成科,3865000,3985000,120000,0.22,0.21,-0.01
增加持股,3017,奇鋐,3727000,3845000,118000,5.22,5.16,-0.06
增加持股,2454,聯發科,3194000,3295000,101000,3.81,3.66,-0.15
增加持股,3189,景碩,2862000,2952000,90000,0.73,0.71,-0.02
增加持股,5439,高技,2791000,2880000,89000,0.61,0.54,-0.07
增加持股,3653,健策,2198000,2267000,69000,6.18,6.03,-0.15
增加持股,6223,旺矽,1720000,1774000,54000,4.31,4.26,-0.05
增加持股,6805,富世達,1646000,1698000,52000,1.7,1.62,-0.08
增加持股,2404,漢唐,1058000,1091000,33000,0.55,0.53,-0.02
增加持股,8210,勤誠,1019000,1051000,32000,0.55,0.58,0.03
增加持股,6669,緯穎,923000,952000,29000,2.09,2.03,-0.06
增加持股,3661,世芯-KY,673000,694000,21000,1.42,1.38,-0.04
增加持股,6515,穎崴,357000,368000,11000,1.99,1.98,-0.01
增加持股,7769,鴻勁,95000,97000,2000,0.23,0.23,0.0
減少持股,1303,南亞,8015000,1373000,-6642000,0.37,0.06,-0.31
減少持股,3211,順達,3880000,916000,-2964000,0.84,0.18,-0.66
減少持股,4979,華星光,1037000,1000,-1036000,0.34,0.0,-0.34
減少持股,6488,環球晶,949000,332000,-617000,0.3,0.1,-0.2
減少持股,3583,辛耘,527000,57000,-470000,0.23,0.03,-0.2
移除,3008,大立光,15000,,,0.02,,
移除,6187,萬潤,461000,,,0.33,,
