變化類別,股票代號,股票名稱,股數_20260526,股數_20260527,股數變化,權重_20260526(%),權重_20260527(%),權重變化(%)
增加持股,2303,聯電,66190000,71190000,5000000,3.02,3.52,0.5
增加持股,3711,日月光投控,15640000,16640000,1000000,3.34,3.68,0.34
增加持股,3037,欣興,12076000,12466000,390000,4.57,4.64,0.07
增加持股,8150,南茂,11334000,11635000,301000,0.34,0.38,0.04
增加持股,6187,萬潤,1224000,1334000,110000,0.49,0.52,0.03
增加持股,2368,金像電,7669000,7769000,100000,3.87,3.68,-0.19
增加持股,3533,嘉澤,772000,852000,80000,0.71,0.77,0.06
減少持股,2449,京元電子,12919000,8268000,-4651000,1.53,0.9,-0.63
減少持股,2481,強茂,2056000,5000,-2051000,0.11,0.0,-0.11
減少持股,2313,華通,1649000,329000,-1320000,0.16,0.03,-0.13
