變化類別,股票代號,股票名稱,股數_20260417,股數_20260420,股數變化,權重_20260417(%),權重_20260420(%),權重變化(%)
增加持股,3264,欣銓,3355000,4715000,1360000,0.38,0.52,0.14
增加持股,2303,聯電,28030000,29205000,1175000,1.33,1.33,0.0
增加持股,2330,台積電,6556000,7131000,575000,8.67,8.55,-0.12
增加持股,2327,國巨*,13568000,14138000,570000,2.8,2.67,-0.13
增加持股,5439,高技,2156000,2656000,500000,0.56,0.69,0.13
增加持股,2449,京元電子,9529000,9930000,401000,1.71,1.59,-0.12
增加持股,2368,金像電,7091000,7389000,298000,5.43,5.29,-0.14
增加持股,3711,日月光投控,6879000,7167000,288000,1.98,1.96,-0.02
增加持股,6669,緯穎,349000,582000,233000,0.86,1.37,0.51
增加持股,2308,台達電,5103000,5317000,214000,6.12,5.98,-0.14
增加持股,2345,智邦,4253000,4431000,178000,5.73,5.26,-0.47
增加持股,3211,順達,3703000,3859000,156000,0.87,0.84,-0.03
增加持股,3665,貿聯-KY,3467848,3612848,145000,5.34,5.26,-0.08
增加持股,3017,奇鋐,3405000,3547000,142000,5.32,5.23,-0.09
增加持股,2383,台光電,3012000,3138000,126000,7.46,7.15,-0.31
增加持股,3653,健策,1986000,2108000,122000,5.91,6.27,0.36
增加持股,2454,聯發科,1870000,1948000,78000,2.34,2.19,-0.15
增加持股,6223,旺矽,1582000,1648000,66000,5.35,5.01,-0.34
增加持股,3376,新日興,1498000,1560000,62000,0.19,0.19,0.0
增加持股,6805,富世達,1474000,1536000,62000,1.8,1.72,-0.08
增加持股,2404,漢唐,1014000,1056000,42000,0.68,0.64,-0.04
增加持股,8210,勤誠,965000,1005000,40000,0.64,0.61,-0.03
增加持股,6488,環球晶,886000,923000,37000,0.29,0.3,0.01
增加持股,6510,精測,683000,711000,28000,1.66,1.6,-0.06
增加持股,3217,優群,557000,580000,23000,0.06,0.06,0.0
增加持股,6187,萬潤,419000,436000,17000,0.33,0.32,-0.01
增加持股,3661,世芯-KY,336000,350000,14000,0.77,0.75,-0.02
增加持股,6515,穎崴,331000,344000,13000,2.22,2.2,-0.02
增加持股,2313,華通,110000,114000,4000,0.02,0.02,0.0
增加持股,7769,鴻勁,91000,94000,3000,0.27,0.25,-0.02
增加持股,1303,南亞,8012000,8013000,1000,0.46,0.41,-0.05
增加持股,3324,雙鴻,167000,168000,1000,0.11,0.1,-0.01
增加持股,2481,強茂,3648000,3649000,1000,0.28,0.24,-0.04
增加持股,2357,華碩,12000,13000,1000,0.0,0.0,0.0
增加持股,1319,東陽,505000,506000,1000,0.03,0.02,-0.01
增加持股,3045,台灣大,12000,13000,1000,0.0,0.0,0.0
增加持股,2439,美律,12000,13000,1000,0.0,0.0,0.0
增加持股,2002,中鋼,5157000,5158000,1000,0.07,0.06,-0.01
