變化類別,股票代號,股票名稱,股數_20260828,股數_20260831,股數變化,權重_20260828(%),權重_20260831(%),權重變化(%)
增加持股,2313,華通,1000,501000,500000,0.0,0.04,0.04
增加持股,2449,京元電子,12668450,12818450,150000,1.17,1.17,0.0
減少持股,3711,日月光投控,19479000,18679000,-800000,4.12,3.86,-0.26
減少持股,6805,富世達,2264000,1731000,-533000,1.81,1.41,-0.4
減少持股,2368,金像電,1957000,1457000,-500000,0.75,0.6,-0.15
減少持股,2303,聯電,89518000,89118000,-400000,3.97,4.07,0.1
減少持股,2327,國巨*,25387000,24987000,-400000,5.17,4.82,-0.35
減少持股,2330,台積電,11264000,11014000,-250000,9.29,9.38,0.09
減少持股,8046,南電,9624000,9474000,-150000,4.07,4.13,0.06
減少持股,5274,信驊,313900,207900,-106000,1.67,1.18,-0.49
減少持股,2345,智邦,6564000,6464000,-100000,4.75,4.66,-0.09
減少持股,6274,台燿,5498000,5398000,-100000,2.79,2.74,-0.05
減少持股,3665,貿聯-KY,4671848,4591848,-80000,3.6,3.53,-0.07
減少持股,6187,萬潤,88000,8000,-80000,0.04,0.0,-0.04
減少持股,2454,聯發科,5148000,5088000,-60000,6.99,7.07,0.08
減少持股,8210,勤誠,2477000,2427000,-50000,0.84,0.83,-0.01
減少持股,6669,緯穎,2226000,2176000,-50000,5.46,5.47,0.01
減少持股,2383,台光電,4807000,4757000,-50000,8.99,9.24,0.25
減少持股,3017,奇鋐,5979000,5949000,-30000,6.85,7.21,0.36
減少持股,3653,健策,2407000,2397000,-10000,4.75,5.08,0.33
減少持股,2308,台達電,7250000,7240000,-10000,4.52,4.72,0.2
減少持股,6223,旺矽,2486000,2476000,-10000,4.26,4.5,0.24
減少持股,4958,臻鼎-KY,1645000,1644000,-1000,0.27,0.29,0.02
減少持股,6271,同欣電,2223000,2222000,-1000,0.16,0.17,0.01
減少持股,8996,高力,1301000,1300000,-1000,0.56,0.54,-0.02
減少持股,3376,新日興,1741000,1740000,-1000,0.13,0.13,0.0
減少持股,3264,欣銓,5917000,5916000,-1000,0.47,0.48,0.01
減少持股,6278,台表科,3249000,3248000,-1000,0.22,0.23,0.01
