變化類別,股票代號,股票名稱,股數_20260423,股數_20260424,股數變化,權重_20260423(%),權重_20260424(%),權重變化(%)
增加持股,8046,南電,9256000,11881000,2625000,3.69,4.9,1.21
增加持股,3189,景碩,2952000,5038000,2086000,0.71,1.25,0.54
增加持股,2454,聯發科,3295000,3867000,572000,3.66,4.44,0.78
增加持股,2368,金像電,7389000,7748000,359000,4.68,5.08,0.4
增加持股,2383,台光電,3904000,4125000,221000,8.02,8.7,0.68
增加持股,2345,智邦,5057000,5231000,174000,5.27,5.28,0.01
增加持股,3665,貿聯-KY,3933848,4097848,164000,5.43,5.34,-0.09
增加持股,6669,緯穎,952000,1101000,149000,2.03,2.41,0.38
增加持股,6510,精測,781000,875000,94000,1.51,1.5,-0.01
增加持股,3017,奇鋐,3845000,3902000,57000,5.16,5.42,0.26
增加持股,2330,台積電,9113000,9114000,1000,9.49,9.39,-0.1
移除,3583,辛耘,57000,,,0.03,,
