變化類別,股票代號,股票名稱,股數_20260721,股數_20260722,股數變化,權重_20260721(%),權重_20260722(%),權重變化(%)
新增,2408,南亞科,,940000,940000,,0.15,0.15
增加持股,4958,臻鼎-KY,1000,1682000,1681000,0.0,0.34,0.34
增加持股,2449,京元電子,6197000,7089000,892000,0.64,0.75,0.11
增加持股,3711,日月光投控,16135000,16327000,192000,3.8,3.85,0.05
減少持股,6147,頎邦,5752000,5229000,-523000,0.37,0.36,-0.01
減少持股,5439,高技,2940000,2646000,-294000,0.28,0.24,-0.04
減少持股,2330,台積電,11960000,11840000,-120000,10.74,10.21,-0.53
減少持股,6515,穎崴,130000,93000,-37000,0.32,0.22,-0.1
移除,1815,富喬,1000,,,0.0,,
