變化類別,股票代號,股票名稱,股數_20260421,股數_20260422,股數變化,權重_20260421(%),權重_20260422(%),權重變化(%)
新增,2317,鴻海,,6715000,,,0.77,
增加持股,2454,聯發科,2674000,3194000,520000,3.05,3.81,0.76
增加持股,2303,聯電,29505000,29889000,384000,1.23,1.22,-0.01
增加持股,2383,台光電,3358000,3681000,323000,7.24,7.77,0.53
增加持股,2330,台積電,8068000,8218000,150000,9.02,8.75,-0.27
增加持股,3217,優群,630000,780000,150000,0.06,0.07,0.01
增加持股,2449,京元電子,10050000,10180000,130000,1.54,1.52,-0.02
增加持股,6669,緯穎,794000,923000,129000,1.83,2.09,0.26
增加持股,8046,南電,8852000,8972000,120000,3.81,3.74,-0.07
增加持股,3665,貿聯-KY,3692848,3812848,120000,4.89,5.06,0.17
增加持股,2345,智邦,4840000,4902000,62000,5.78,5.6,-0.18
增加持股,3017,奇鋐,3667000,3727000,60000,5.13,5.22,0.09
增加持股,2327,國巨*,14238000,14288000,50000,2.51,2.34,-0.17
增加持股,3711,日月光投控,7369000,7419000,50000,1.9,1.79,-0.11
增加持股,5347,世界,11000,61000,50000,0.0,0.0,0.0
增加持股,2313,華通,714000,764000,50000,0.1,0.1,0.0
增加持股,6805,富世達,1596000,1646000,50000,1.67,1.7,0.03
增加持股,3189,景碩,2826000,2862000,36000,0.73,0.73,0.0
增加持股,5439,高技,2756000,2791000,35000,0.66,0.61,-0.05
增加持股,3653,健策,2168000,2198000,30000,6.35,6.18,-0.17
增加持股,3264,欣銓,4715000,4745000,30000,0.53,0.52,-0.01
增加持股,6415,矽力*-KY,630000,660000,30000,0.14,0.14,0.0
增加持股,6223,旺矽,1698000,1720000,22000,4.58,4.31,-0.27
增加持股,2308,台達電,5819000,5839000,20000,6.4,6.11,-0.29
增加持股,3211,順達,3860000,3880000,20000,0.8,0.84,0.04
增加持股,8210,勤誠,1006000,1019000,13000,0.56,0.55,-0.01
增加持股,3661,世芯-KY,665000,673000,8000,1.45,1.42,-0.03
增加持股,6187,萬潤,456000,461000,5000,0.33,0.33,0.0
增加持股,6515,穎崴,353000,357000,4000,2.06,1.99,-0.07
增加持股,1303,南亞,8014000,8015000,1000,0.39,0.37,-0.02
增加持股,3376,新日興,1560000,1561000,1000,0.19,0.18,-0.01
增加持股,2357,華碩,14000,15000,1000,0.0,0.0,0.0
增加持股,3008,大立光,14000,15000,1000,0.02,0.02,0.0
增加持股,2481,強茂,3650000,3651000,1000,0.22,0.2,-0.02
增加持股,2404,漢唐,1057000,1058000,1000,0.58,0.55,-0.03
增加持股,2002,中鋼,5159000,5160000,1000,0.06,0.05,-0.01
增加持股,1319,東陽,507000,508000,1000,0.02,0.02,0.0
增加持股,7769,鴻勁,94000,95000,1000,0.23,0.23,0.0
增加持股,1815,富喬,106000,107000,1000,0.01,0.01,0.0
增加持股,6191,精成科,3864000,3865000,1000,0.24,0.22,-0.02
增加持股,2439,美律,14000,15000,1000,0.0,0.0,0.0
增加持股,3324,雙鴻,169000,170000,1000,0.1,0.1,0.0
增加持股,6488,環球晶,948000,949000,1000,0.31,0.3,-0.01
