變化類別,股票代號,股票名稱,股數_20260507,股數_20260508,股數變化,權重_20260507(%),權重_20260508(%),權重變化(%)
增加持股,2404,漢唐,1093000,1394000,301000,0.4,0.53,0.13
增加持股,6669,緯穎,1819000,2047000,228000,3.26,4.0,0.74
增加持股,6223,旺矽,1922000,2054000,132000,3.55,3.88,0.33
增加持股,3017,奇鋐,4082000,4202000,120000,3.61,3.86,0.25
增加持股,4966,譜瑞-KY,386000,486000,100000,0.09,0.12,0.03
減少持股,6147,頎邦,7985000,1000,-7984000,0.56,0.0,-0.56
減少持股,8358,金居,5558000,1980000,-3578000,0.96,0.34,-0.62
減少持股,3189,景碩,5360000,3744000,-1616000,0.97,0.64,-0.33
減少持股,5347,世界,63000,1000,-62000,0.0,0.0,0.0
