變化類別,股票代號,股票名稱,股數_20260923,股數_20260924,股數變化,權重_20260923(%),權重_20260924(%),權重變化(%)
減少持股,2303,聯電,89118000,87118000,-2000000,4.87,4.62,-0.25
減少持股,3711,日月光投控,15466000,13966000,-1500000,3.66,3.36,-0.3
減少持股,2330,台積電,11864000,11464000,-400000,10.12,9.77,-0.35
減少持股,2327,國巨*,25107000,24757000,-350000,4.91,4.95,0.04
減少持股,6669,緯穎,5138561,4873561,-265000,3.69,3.55,-0.14
減少持股,3037,欣興,20300000,20100000,-200000,8.04,8.2,0.16
減少持股,2449,京元電子,13138450,12938450,-200000,1.36,1.39,0.03
減少持股,2345,智邦,6464000,6264000,-200000,4.17,4.09,-0.08
減少持股,3264,欣銓,5182000,4982000,-200000,0.45,0.42,-0.03
減少持股,8046,南電,9037000,8937000,-100000,3.73,3.82,0.09
減少持股,2454,聯發科,5186000,5086000,-100000,9.18,9.26,0.08
減少持股,6805,富世達,1773000,1673000,-100000,1.57,1.46,-0.11
減少持股,2308,台達電,7420000,7320000,-100000,4.81,4.82,0.01
減少持股,2383,台光電,4750000,4650000,-100000,8.14,8.09,-0.05
減少持股,3665,貿聯-KY,3943848,3876848,-67000,3.15,3.12,-0.03
減少持股,6191,精成科,3988000,3921000,-67000,0.11,0.11,0.0
減少持股,4958,臻鼎-KY,3543000,3483000,-60000,0.57,0.57,0.0
減少持股,3017,奇鋐,5949000,5889000,-60000,7.05,7.21,0.16
減少持股,6278,台表科,3248000,3193000,-55000,0.23,0.23,0.0
減少持股,6274,台燿,5936000,5886000,-50000,2.96,3.03,0.07
減少持股,6223,旺矽,2544000,2499000,-45000,4.88,4.66,-0.22
減少持股,5274,信驊,207900,168900,-39000,1.44,1.15,-0.29
減少持股,6271,同欣電,2222000,2185000,-37000,0.17,0.17,0.0
減少持股,2368,金像電,1663000,1634000,-29000,0.65,0.62,-0.03
減少持股,3443,創意,413000,388000,-25000,1.18,1.14,-0.04
減少持股,8210,勤誠,1159000,1139000,-20000,0.35,0.35,0.0
減少持股,3653,健策,2512000,2502000,-10000,5.5,5.96,0.46
減少持股,8996,高力,485000,476000,-9000,0.25,0.25,0.0
減少持股,6510,精測,256000,251000,-5000,0.3,0.29,-0.01
減少持股,6515,穎崴,95000,93000,-2000,0.19,0.19,0.0
