變化類別,股票代號,股票名稱,股數_20260420,股數_20260421,股數變化,權重_20260420(%),權重_20260421(%),權重變化(%)
新增,6415,矽力*-KY,,630000,,,0.14,
增加持股,2330,台積電,7131000,8068000,937000,8.55,9.02,0.47
增加持股,2454,聯發科,1948000,2674000,726000,2.19,3.05,0.86
增加持股,2313,華通,114000,714000,600000,0.02,0.1,0.08
增加持股,2308,台達電,5317000,5819000,502000,5.98,6.4,0.42
增加持股,2345,智邦,4431000,4840000,409000,5.26,5.78,0.52
增加持股,3661,世芯-KY,350000,665000,315000,0.75,1.45,0.7
增加持股,2303,聯電,29205000,29505000,300000,1.33,1.23,-0.1
增加持股,8046,南電,8609000,8852000,243000,4.06,3.81,-0.25
增加持股,2383,台光電,3138000,3358000,220000,7.15,7.24,0.09
增加持股,6669,緯穎,582000,794000,212000,1.37,1.83,0.46
增加持股,3711,日月光投控,7167000,7369000,202000,1.96,1.9,-0.06
增加持股,3017,奇鋐,3547000,3667000,120000,5.23,5.13,-0.1
增加持股,2449,京元電子,9930000,10050000,120000,1.59,1.54,-0.05
增加持股,5439,高技,2656000,2756000,100000,0.69,0.66,-0.03
增加持股,2327,國巨*,14138000,14238000,100000,2.67,2.51,-0.16
增加持股,3665,貿聯-KY,3612848,3692848,80000,5.26,4.89,-0.37
增加持股,6510,精測,711000,781000,70000,1.6,1.75,0.15
增加持股,3653,健策,2108000,2168000,60000,6.27,6.35,0.08
增加持股,6805,富世達,1536000,1596000,60000,1.72,1.67,-0.05
增加持股,6191,精成科,3814000,3864000,50000,0.26,0.24,-0.02
增加持股,6223,旺矽,1648000,1698000,50000,5.01,4.58,-0.43
增加持股,3217,優群,580000,630000,50000,0.06,0.06,0.0
增加持股,8358,金居,5508000,5558000,50000,1.32,1.19,-0.13
增加持股,6488,環球晶,923000,948000,25000,0.3,0.31,0.01
增加持股,6187,萬潤,436000,456000,20000,0.32,0.33,0.01
增加持股,6515,穎崴,344000,353000,9000,2.2,2.06,-0.14
增加持股,5347,世界,10000,11000,1000,0.0,0.0,0.0
增加持股,3008,大立光,13000,14000,1000,0.02,0.02,0.0
增加持股,3324,雙鴻,168000,169000,1000,0.1,0.1,0.0
增加持股,3211,順達,3859000,3860000,1000,0.84,0.8,-0.04
增加持股,2002,中鋼,5158000,5159000,1000,0.06,0.06,0.0
增加持股,2404,漢唐,1056000,1057000,1000,0.64,0.58,-0.06
增加持股,1303,南亞,8013000,8014000,1000,0.41,0.39,-0.02
增加持股,1319,東陽,506000,507000,1000,0.02,0.02,0.0
增加持股,8210,勤誠,1005000,1006000,1000,0.61,0.56,-0.05
增加持股,2481,強茂,3649000,3650000,1000,0.24,0.22,-0.02
增加持股,2357,華碩,13000,14000,1000,0.0,0.0,0.0
增加持股,2439,美律,13000,14000,1000,0.0,0.0,0.0
移除,3045,台灣大,13000,,,0.0,,
