變化類別,股票代號,股票名稱,股數_20260505,股數_20260506,股數變化,權重_20260505(%),權重_20260506(%),權重變化(%)
增加持股,3264,欣銓,6994000,8608000,1614000,0.63,0.72,0.09
增加持股,2357,華碩,17000,975000,958000,0.0,0.23,0.23
增加持股,6274,台燿,3257000,3778000,521000,1.52,1.84,0.32
增加持股,2330,台積電,10714000,11157000,443000,9.25,9.31,0.06
增加持股,8210,勤誠,1117000,1340000,223000,0.54,0.66,0.12
增加持股,3711,日月光投控,11059000,11259000,200000,2.21,2.19,-0.02
增加持股,2317,鴻海,13977000,14177000,200000,1.28,1.32,0.04
增加持股,3017,奇鋐,3902000,4082000,180000,4.05,3.69,-0.36
增加持股,3443,創意,488000,616000,128000,0.9,1.13,0.23
增加持股,8996,高力,934000,1034000,100000,0.43,0.45,0.02
增加持股,2345,智邦,6131000,6231000,100000,5.87,5.74,-0.13
增加持股,8150,南茂,368000,468000,100000,0.01,0.02,0.01
增加持股,2308,台達電,6118000,6218000,100000,5.08,5.1,0.02
增加持股,2454,聯發科,4363000,4463000,100000,5.28,5.68,0.4
增加持股,2383,台光電,4505000,4605000,100000,8.17,8.45,0.28
增加持股,2337,旺宏,2956000,3056000,100000,0.18,0.19,0.01
增加持股,3665,貿聯-KY,4623848,4703848,80000,5.1,4.79,-0.31
增加持股,5439,高技,3178000,3228000,50000,0.49,0.49,0.0
增加持股,6669,緯穎,1769000,1819000,50000,3.23,3.35,0.12
增加持股,3376,新日興,1711000,1741000,30000,0.13,0.13,0.0
增加持股,3217,優群,844000,874000,30000,0.06,0.06,0.0
增加持股,6515,穎崴,397000,422000,25000,1.53,1.59,0.06
增加持股,1590,亞德客-KY,510000,530000,20000,0.28,0.28,0.0
增加持股,6805,富世達,1741000,1761000,20000,1.33,1.23,-0.1
增加持股,4966,譜瑞-KY,376000,386000,10000,0.08,0.08,0.0
增加持股,5274,信驊,473000,483000,10000,3.23,3.35,0.12
增加持股,2439,美律,17000,18000,1000,0.0,0.0,0.0
增加持股,2404,漢唐,1092000,1093000,1000,0.41,0.4,-0.01
增加持股,6191,精成科,3987000,3988000,1000,0.15,0.15,0.0
增加持股,3037,欣興,10386000,10387000,1000,3.6,3.3,-0.3
增加持股,2327,國巨*,17220000,17221000,1000,2.3,2.16,-0.14
增加持股,1319,東陽,510000,511000,1000,0.01,0.01,0.0
增加持股,2481,強茂,3653000,3654000,1000,0.14,0.14,0.0
增加持股,2449,京元電子,12918000,12919000,1000,1.75,1.57,-0.18
增加持股,6223,旺矽,1921000,1922000,1000,3.68,3.53,-0.15
增加持股,6147,頎邦,7984000,7985000,1000,0.54,0.52,-0.02
增加持股,8046,南電,12657000,12658000,1000,4.84,4.41,-0.43
增加持股,3189,景碩,5359000,5360000,1000,1.08,0.96,-0.12
增加持股,6187,萬潤,1223000,1224000,1000,0.63,0.55,-0.08
增加持股,2002,中鋼,5162000,5163000,1000,0.04,0.04,0.0
增加持股,2313,華通,2623000,2624000,1000,0.28,0.24,-0.04
移除,4979,華星光,1000,,,0.0,,
