變化類別,股票代號,股票名稱,股數_20260629,股數_20260630,股數變化,權重_20260629(%),權重_20260630(%),權重變化(%)
增加持股,3037,欣興,14735000,15203000,468000,5.16,5.6,0.44
增加持股,8046,南電,8917000,8949000,32000,3.46,3.65,0.19
增加持股,6223,旺矽,2367000,2382000,15000,5.15,5.0,-0.15
減少持股,2317,鴻海,7307000,5114000,-2193000,0.65,0.44,-0.21
減少持股,4966,譜瑞-KY,1116000,624000,-492000,0.25,0.14,-0.11
減少持股,3533,嘉澤,852000,652000,-200000,0.65,0.47,-0.18
減少持股,6510,精測,830000,636000,-194000,0.9,0.66,-0.24
減少持股,6515,穎崴,281000,252000,-29000,0.81,0.7,-0.11
減少持股,2439,美律,18000,1000,-17000,0.0,0.0,0.0
