變化類別,股票代號,股票名稱,股數_20260416,股數_20260417,股數變化,權重_20260416(%),權重_20260417(%),權重變化(%)
新增,2303,聯電,,28030000,,,1.33,
新增,7769,鴻勁,,91000,,,0.27,
增加持股,5439,高技,1756000,2156000,400000,0.48,0.56,0.08
增加持股,2308,台達電,4711000,5103000,392000,6.0,6.12,0.12
增加持股,2454,聯發科,1540000,1870000,330000,2.02,2.34,0.32
增加持股,2330,台積電,6256000,6556000,300000,9.01,8.67,-0.34
增加持股,3264,欣銓,3055000,3355000,300000,0.37,0.38,0.01
增加持股,2345,智邦,3963000,4253000,290000,5.57,5.73,0.16
增加持股,8046,南電,8389000,8609000,220000,4.18,4.06,-0.12
增加持股,3711,日月光投控,6679000,6879000,200000,2.08,1.98,-0.1
增加持股,2404,漢唐,821000,1014000,193000,0.53,0.68,0.15
增加持股,6191,精成科,3664000,3814000,150000,0.27,0.26,-0.01
增加持股,2327,國巨*,13418000,13568000,150000,3.01,2.8,-0.21
增加持股,6669,緯穎,199000,349000,150000,0.51,0.86,0.35
增加持股,3665,貿聯-KY,3332848,3467848,135000,5.51,5.34,-0.17
增加持股,3017,奇鋐,3272000,3405000,133000,5.52,5.32,-0.2
增加持股,2368,金像電,6971000,7091000,120000,5.61,5.43,-0.18
增加持股,3653,健策,1906000,1986000,80000,5.77,5.91,0.14
增加持股,3661,世芯-KY,256000,336000,80000,0.61,0.77,0.16
增加持股,6805,富世達,1404000,1474000,70000,1.84,1.8,-0.04
增加持股,6223,旺矽,1521000,1582000,61000,5.16,5.35,0.19
增加持股,2313,華通,60000,110000,50000,0.01,0.02,0.01
增加持股,2449,京元電子,9479000,9529000,50000,1.86,1.71,-0.15
增加持股,6510,精測,633000,683000,50000,1.6,1.66,0.06
增加持股,6187,萬潤,396000,419000,23000,0.3,0.33,0.03
增加持股,6515,穎崴,311000,331000,20000,2.11,2.22,0.11
增加持股,3008,大立光,12000,13000,1000,0.02,0.02,0.0
增加持股,2439,美律,11000,12000,1000,0.0,0.0,0.0
增加持股,3217,優群,556000,557000,1000,0.06,0.06,0.0
增加持股,3045,台灣大,11000,12000,1000,0.0,0.0,0.0
增加持股,3189,景碩,2825000,2826000,1000,0.77,0.72,-0.05
增加持股,8210,勤誠,964000,965000,1000,0.68,0.64,-0.04
增加持股,3376,新日興,1497000,1498000,1000,0.2,0.19,-0.01
增加持股,2357,華碩,11000,12000,1000,0.0,0.0,0.0
增加持股,5274,信驊,350000,351000,1000,3.5,3.16,-0.34
增加持股,2002,中鋼,5156000,5157000,1000,0.07,0.07,0.0
增加持股,1319,東陽,504000,505000,1000,0.03,0.03,0.0
增加持股,3324,雙鴻,166000,167000,1000,0.12,0.11,-0.01
增加持股,3211,順達,3702000,3703000,1000,0.89,0.87,-0.02
減少持股,1303,南亞,16352000,8012000,-8340000,1.02,0.46,-0.56
減少持股,6488,環球晶,1465000,886000,-579000,0.55,0.29,-0.26
