變化類別,股票代號,股票名稱,股數_20260415,股數_20260416,股數變化,權重_20260415(%),權重_20260416(%),權重變化(%)
增加持股,2481,強茂,1716000,3648000,1932000,0.13,0.27,0.14
增加持股,2454,聯發科,1067000,1540000,473000,1.4,2.02,0.62
增加持股,2327,國巨*,13128000,13418000,290000,3.1,3.01,-0.09
增加持股,2449,京元電子,9275000,9479000,204000,1.98,1.86,-0.12
增加持股,2368,金像電,6821000,6971000,150000,5.83,5.61,-0.22
增加持股,3711,日月光投控,6535000,6679000,144000,2.14,2.08,-0.06
增加持股,2330,台積電,6121000,6256000,135000,9.34,9.01,-0.33
增加持股,8358,金居,5389000,5508000,119000,1.32,1.27,-0.05
增加持股,2002,中鋼,5052000,5156000,104000,0.07,0.07,0.0
增加持股,2308,台達電,4610000,4711000,101000,6.04,6.0,-0.04
增加持股,6805,富世達,1308000,1404000,96000,1.75,1.84,0.09
增加持股,2345,智邦,3878000,3963000,85000,5.6,5.57,-0.03
增加持股,6191,精成科,3585000,3664000,79000,0.27,0.27,0.0
增加持股,3665,貿聯-KY,3260848,3332848,72000,5.62,5.51,-0.11
增加持股,3017,奇鋐,3202000,3272000,70000,5.46,5.52,0.06
增加持股,3653,健策,1837000,1906000,69000,5.6,5.77,0.17
增加持股,3264,欣銓,2989000,3055000,66000,0.41,0.37,-0.04
增加持股,6274,台燿,2954000,3019000,65000,2.05,2.0,-0.05
增加持股,3189,景碩,2764000,2825000,61000,0.78,0.77,-0.01
增加持股,5439,高技,1719000,1756000,37000,0.5,0.48,-0.02
增加持股,6223,旺矽,1489000,1521000,32000,5.03,5.16,0.13
增加持股,3376,新日興,1465000,1497000,32000,0.21,0.2,-0.01
增加持股,6488,環球晶,1434000,1465000,31000,0.54,0.55,0.01
增加持股,8210,勤誠,944000,964000,20000,0.69,0.68,-0.01
增加持股,2404,漢唐,804000,821000,17000,0.54,0.53,-0.01
增加持股,6510,精測,620000,633000,13000,1.64,1.6,-0.04
增加持股,3217,優群,545000,556000,11000,0.06,0.06,0.0
增加持股,1319,東陽,493000,504000,11000,0.03,0.03,0.0
增加持股,6187,萬潤,388000,396000,8000,0.32,0.3,-0.02
增加持股,5274,信驊,343000,350000,7000,3.49,3.5,0.01
增加持股,6515,穎崴,305000,311000,6000,2.03,2.11,0.08
增加持股,3661,世芯-KY,251000,256000,5000,0.59,0.61,0.02
增加持股,6669,緯穎,195000,199000,4000,0.53,0.51,-0.02
增加持股,3324,雙鴻,163000,166000,3000,0.12,0.12,0.0
增加持股,2313,華通,59000,60000,1000,0.01,0.01,0.0
減少持股,3211,順達,3850000,3702000,-148000,0.98,0.89,-0.09
