變化類別,股票代號,股票名稱,股數_20260731,股數_20260810,股數變化,權重_20260731(%),權重_20260810(%),權重變化(%)
新增,2360,致茂,,572000,572000,,0.38,0.38
增加持股,2449,京元電子,7543450,11295450,3752000,0.63,0.93,0.3
增加持股,3711,日月光投控,16327000,19529000,3202000,3.38,4.07,0.69
增加持股,3037,欣興,17833000,20210000,2377000,5.23,6.63,1.4
增加持股,3264,欣銓,1508000,3080000,1572000,0.1,0.23,0.13
增加持股,2308,台達電,5642000,7070000,1428000,3.54,4.25,0.71
增加持股,2330,台積電,10740000,12134000,1394000,9.71,9.56,-0.15
增加持股,8996,高力,1000,712000,711000,0.0,0.25,0.25
增加持股,3017,奇鋐,5496000,5801000,305000,4.75,5.31,0.56
增加持股,6274,台燿,5229000,5499000,270000,2.16,2.66,0.5
增加持股,6669,緯穎,2449000,2708000,259000,4.92,5.39,0.47
增加持股,6805,富世達,1957000,2215000,258000,0.99,1.29,0.3
增加持股,2454,聯發科,5200000,5448000,248000,6.89,7.14,0.25
增加持股,8210,勤誠,2297000,2497000,200000,0.9,0.89,-0.01
增加持股,2383,台光電,4715000,4863000,148000,8.34,8.51,0.17
增加持股,3653,健策,2297000,2375000,78000,2.95,3.25,0.3
減少持股,2368,金像電,7579000,4000000,-3579000,2.24,1.23,-1.01
減少持股,2408,南亞科,940000,1000,-939000,0.13,0.0,-0.13
減少持股,6278,台表科,3610000,3250000,-360000,0.19,0.18,-0.01
減少持股,1590,亞德客-KY,528000,228000,-300000,0.29,0.12,-0.17
減少持股,3665,貿聯-KY,4898848,4616848,-282000,3.83,3.35,-0.48
減少持股,6271,同欣電,2470000,2224000,-246000,0.15,0.14,-0.01
減少持股,6515,穎崴,93000,23000,-70000,0.2,0.05,-0.15
減少持股,6510,精測,289000,261000,-28000,0.27,0.25,-0.02
移除,5439,高技,526000,,,0.04,,
移除,6147,頎邦,2822000,,,0.14,,
