變化類別,股票代號,股票名稱,股數_20260424,股數_20260427,股數變化,權重_20260424(%),權重_20260427(%),權重變化(%)
增加持股,2317,鴻海,6927000,10727000,3800000,0.72,1.05,0.33
增加持股,2303,聯電,30837000,32791000,1954000,1.08,1.03,-0.05
增加持股,2327,國巨*,14288000,15196000,908000,2.0,2.0,0.0
增加持股,2345,智邦,5231000,6031000,800000,5.28,5.65,0.37
增加持股,8046,南電,11881000,12637000,756000,4.9,4.97,0.07
增加持股,2449,京元電子,10503000,11172000,669000,1.42,1.36,-0.06
增加持股,2330,台積電,9114000,9693000,579000,9.39,9.46,0.07
增加持股,3711,日月光投控,7654000,8174000,520000,1.79,1.74,-0.05
增加持股,2368,金像電,7748000,8240000,492000,5.08,5.04,-0.04
增加持股,6669,緯穎,1101000,1549000,448000,2.41,3.26,0.85
增加持股,6805,富世達,1698000,2099000,401000,1.53,1.87,0.34
增加持股,3189,景碩,5038000,5358000,320000,1.25,1.19,-0.06
增加持股,2383,台光電,4125000,4425000,300000,8.7,9.02,0.32
增加持股,3665,貿聯-KY,4097848,4377848,280000,5.34,4.96,-0.38
增加持股,2454,聯發科,3867000,4147000,280000,4.44,4.35,-0.09
增加持股,5439,高技,2880000,3130000,250000,0.5,0.5,0.0
增加持股,3376,新日興,1561000,1681000,120000,0.16,0.15,-0.01
增加持股,6223,旺矽,1774000,1886000,112000,3.89,3.96,0.07
增加持股,2313,華通,764000,843000,79000,0.08,0.09,0.01
增加持股,8210,勤誠,1051000,1117000,66000,0.6,0.56,-0.04
增加持股,6510,精測,875000,930000,55000,1.5,1.43,-0.07
增加持股,3217,優群,780000,830000,50000,0.07,0.06,-0.01
增加持股,3661,世芯-KY,694000,738000,44000,1.38,1.32,-0.06
增加持股,6515,穎崴,368000,391000,23000,1.75,1.61,-0.14
增加持股,5274,信驊,351000,373000,22000,2.71,2.57,-0.14
增加持股,2357,華碩,15000,16000,1000,0.0,0.0,0.0
增加持股,4966,譜瑞-KY,370000,371000,1000,0.11,0.1,-0.01
增加持股,6488,環球晶,332000,333000,1000,0.09,0.09,0.0
增加持股,6191,精成科,3985000,3986000,1000,0.2,0.18,-0.02
增加持股,2439,美律,15000,16000,1000,0.0,0.0,0.0
增加持股,3264,欣銓,4896000,4897000,1000,0.48,0.41,-0.07
增加持股,5347,世界,61000,62000,1000,0.0,0.0,0.0
增加持股,7769,鴻勁,97000,98000,1000,0.22,0.21,-0.01
增加持股,1303,南亞,1373000,1374000,1000,0.06,0.05,-0.01
增加持股,2002,中鋼,5160000,5161000,1000,0.05,0.04,-0.01
增加持股,1319,東陽,508000,509000,1000,0.02,0.02,0.0
增加持股,2481,強茂,3651000,3652000,1000,0.17,0.16,-0.01
減少持股,3211,順達,916000,458000,-458000,0.16,0.08,-0.08
移除,3324,雙鴻,170000,,,0.1,,
