變化類別,股票代號,股票名稱,股數_20260811,股數_20260812,股數變化,權重_20260811(%),權重_20260812(%),權重變化(%)
增加持股,4979,華星光,1874000,2424000,550000,0.33,0.44,0.11
增加持股,6510,精測,261000,478000,217000,0.25,0.44,0.19
增加持股,8046,南電,9519000,9634000,115000,3.56,3.97,0.41
增加持股,3017,奇鋐,5801000,5900000,99000,5.31,5.59,0.28
增加持股,8996,高力,712000,802000,90000,0.25,0.31,0.06
增加持股,6805,富世達,2215000,2265000,50000,1.29,1.35,0.06
增加持股,2360,致茂,572000,622000,50000,0.38,0.44,0.06
增加持股,5274,信驊,454900,484900,30000,2.49,2.74,0.25
減少持股,1590,亞德客-KY,228000,1000,-227000,0.12,0.0,-0.12
減少持股,6669,緯穎,2708000,2496000,-212000,5.39,4.9,-0.49
