變化類別,股票代號,股票名稱,股數_20260410,股數_20260413,股數變化,權重_20260410(%),權重_20260413(%),權重變化(%)
增加持股,8358,金居,2750000,4809000,2059000,0.62,1.12,0.5
增加持股,2327,國巨*,11083000,12614000,1531000,2.61,3.1,0.49
增加持股,2449,京元電子,7512000,8903000,1391000,1.72,2.13,0.41
增加持股,2330,台積電,5518000,5827000,309000,9.11,9.4,0.29
增加持股,6274,台燿,2670000,2954000,284000,1.78,1.92,0.14
增加持股,1303,南亞,19743000,19943000,200000,1.33,1.39,0.06
增加持股,3037,欣興,9147000,9287000,140000,4.82,4.71,-0.11
增加持股,3711,日月光投控,6159000,6259000,100000,2.0,2.12,0.12
增加持股,8046,南電,8189000,8269000,80000,4.51,4.39,-0.12
增加持股,3665,貿聯-KY,3052848,3132848,80000,5.54,5.65,0.11
增加持股,2345,智邦,3646000,3726000,80000,5.52,5.5,-0.02
增加持股,2308,台達電,4379000,4450000,71000,6.27,6.28,0.01
增加持股,6488,環球晶,1330000,1380000,50000,0.54,0.56,0.02
增加持股,3264,欣銓,2870000,2916000,46000,0.45,0.45,0.0
增加持股,3017,奇鋐,3026000,3066000,40000,5.66,5.47,-0.19
增加持股,3653,健策,1694000,1734000,40000,5.77,5.69,-0.08
增加持股,3189,景碩,2657000,2697000,40000,0.84,0.8,-0.04
增加持股,8210,勤誠,34000,64000,30000,0.02,0.05,0.03
增加持股,6805,富世達,1130000,1160000,30000,1.74,1.66,-0.08
增加持股,6223,旺矽,1414000,1434000,20000,5.39,5.29,-0.1
增加持股,8996,高力,515000,535000,20000,0.44,0.48,0.04
增加持股,2454,聯發科,508000,528000,20000,0.66,0.69,0.03
增加持股,2404,漢唐,764000,784000,20000,0.58,0.59,0.01
增加持股,6515,穎崴,268000,283000,15000,1.75,1.96,0.21
增加持股,3217,優群,477000,484000,7000,0.06,0.06,0.0
增加持股,5274,信驊,318000,323000,5000,3.3,3.19,-0.11
增加持股,3443,創意,267000,271000,4000,0.59,0.61,0.02
增加持股,3661,世芯-KY,233000,236000,3000,0.58,0.59,0.01
增加持股,6510,精測,604000,605000,1000,1.74,1.68,-0.06
增加持股,1815,富喬,5000,6000,1000,0.0,0.0,0.0
增加持股,2357,華碩,8000,9000,1000,0.0,0.0,0.0
增加持股,3376,新日興,1428000,1429000,1000,0.24,0.23,-0.01
增加持股,1326,台化,9001000,9002000,1000,0.34,0.36,0.02
增加持股,2002,中鋼,4929000,4930000,1000,0.08,0.08,0.0
增加持股,6669,緯穎,76000,77000,1000,0.23,0.23,0.0
增加持股,2439,美律,8000,9000,1000,0.0,0.0,0.0
增加持股,3045,台灣大,8000,9000,1000,0.0,0.0,0.0
增加持股,2481,強茂,1636000,1637000,1000,0.14,0.13,-0.01
增加持股,3583,辛耘,526000,527000,1000,0.29,0.3,0.01
增加持股,3324,雙鴻,160000,161000,1000,0.13,0.12,-0.01
增加持股,3008,大立光,10000,11000,1000,0.02,0.02,0.0
增加持股,2313,華通,7000,8000,1000,0.0,0.0,0.0
減少持股,5347,世界,5845000,8000,-5837000,0.62,0.0,-0.62
減少持股,1319,東陽,982000,491000,-491000,0.07,0.03,-0.04
減少持股,3211,順達,4086000,3902000,-184000,1.26,1.14,-0.12
移除,6139,亞翔,1559000,,,0.82,,
