變化類別,股票代號,股票名稱,股數_20260413,股數_20260414,股數變化,權重_20260413(%),權重_20260414(%),權重變化(%)
新增,5439,高技,,1404000,,,0.39,
增加持股,8210,勤誠,64000,864000,800000,0.05,0.64,0.59
增加持股,1303,南亞,19943000,20441000,498000,1.39,1.4,0.01
增加持股,2327,國巨*,12614000,12928000,314000,3.1,3.11,0.01
增加持股,2449,京元電子,8903000,9125000,222000,2.13,2.12,-0.01
增加持股,1326,台化,9002000,9223000,221000,0.36,0.39,0.03
增加持股,6147,頎邦,7692000,7884000,192000,0.73,0.69,-0.04
增加持股,2330,台積電,5827000,6013000,186000,9.4,9.53,0.13
增加持股,2368,金像電,6607000,6771000,164000,5.65,6.01,0.36
增加持股,3711,日月光投控,6259000,6415000,156000,2.12,2.1,-0.02
增加持股,2454,聯發科,528000,679000,151000,0.69,0.9,0.21
增加持股,2002,中鋼,4930000,5051000,121000,0.08,0.08,0.0
增加持股,2308,台達電,4450000,4560000,110000,6.28,6.16,-0.12
增加持股,6669,緯穎,77000,175000,98000,0.23,0.51,0.28
增加持股,2345,智邦,3726000,3818000,92000,5.5,5.57,0.07
增加持股,6191,精成科,3402000,3485000,83000,0.26,0.28,0.02
增加持股,3665,貿聯-KY,3132848,3210848,78000,5.65,5.69,0.04
增加持股,3017,奇鋐,3066000,3142000,76000,5.47,5.6,0.13
增加持股,3264,欣銓,2916000,2988000,72000,0.45,0.43,-0.02
增加持股,2383,台光電,2861000,2932000,71000,7.71,8.16,0.45
增加持股,3189,景碩,2697000,2764000,67000,0.8,0.79,-0.01
增加持股,3653,健策,1734000,1777000,43000,5.69,5.48,-0.21
增加持股,2481,強茂,1637000,1676000,39000,0.13,0.13,0.0
增加持股,3376,新日興,1429000,1464000,35000,0.23,0.22,-0.01
增加持股,6223,旺矽,1434000,1469000,35000,5.29,5.17,-0.12
增加持股,6488,環球晶,1380000,1414000,34000,0.56,0.55,-0.01
增加持股,6805,富世達,1160000,1188000,28000,1.66,1.59,-0.07
增加持股,2404,漢唐,784000,803000,19000,0.59,0.57,-0.02
增加持股,3217,優群,484000,495000,11000,0.06,0.06,0.0
增加持股,5274,信驊,323000,331000,8000,3.19,3.32,0.13
增加持股,6515,穎崴,283000,290000,7000,1.96,1.9,-0.06
增加持股,3661,世芯-KY,236000,241000,5000,0.59,0.6,0.01
增加持股,5347,世界,8000,9000,1000,0.0,0.0,0.0
增加持股,3324,雙鴻,161000,162000,1000,0.12,0.12,0.0
增加持股,2357,華碩,9000,10000,1000,0.0,0.0,0.0
增加持股,1319,東陽,491000,492000,1000,0.03,0.03,0.0
增加持股,6510,精測,605000,606000,1000,1.68,1.57,-0.11
增加持股,2439,美律,9000,10000,1000,0.0,0.0,0.0
增加持股,2313,華通,8000,9000,1000,0.0,0.0,0.0
增加持股,3045,台灣大,9000,10000,1000,0.0,0.0,0.0
減少持股,3211,順達,3902000,3849000,-53000,1.14,1.04,-0.1
